Product Name,Price
"POCO X2 (Atlantis Blue, 128 GB)","₹18,499"
"POCO X2 (Matrix Purple, 128 GB)","₹18,499"
"POCO X2 (Atlantis Blue, 64 GB)","₹17,499"
"POCO X2 (Phoenix Red, 128 GB)","₹18,499"
"POCO X2 (Atlantis Blue, 256 GB)","₹21,499"
"POCO X2 (Phoenix Red, 256 GB)","₹21,499"
"POCO X2 (Matrix Purple, 64 GB)","₹17,499"
"POCO X2 (Matrix Purple, 256 GB)","₹21,499"
"POCO X2 (Phoenix Red, 64 GB)","₹17,499"
"POCO X2 Special Edition (Matrix Purple, 128 GB)","₹18,499"
"POCO X2 Special Edition (Atlantis Blue, 128 GB)","₹18,499"
"POCO X2 Special Edition (Phoenix Red, 128 GB)","₹18,499"
"POCO M2 (Pitch Black, 64 GB)","₹10,999"
"POCO M2 (Slate Blue, 64 GB)","₹10,999"
"POCO X3 (Cobalt Blue, 128 GB)","₹18,499"
"POCO X3 (Cobalt Blue, 64 GB)","₹16,999"
"POCO M2 (Brick Red, 64 GB)","₹10,999"
"POCO M2 (Pitch Black, 128 GB)","₹12,499"
"POCO M2 (Slate Blue, 128 GB)","₹12,499"
"POCO X3 (Shadow Gray, 128 GB)","₹18,499"
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹14,999"
"POCO M2 Pro (Green and Greener, 64 GB)","₹13,999"
"POCO M2 Pro (Green and Greener, 64 GB)","₹14,999"
"POCO M2 (Brick Red, 128 GB)","₹12,499"
